set_tt;set_tt_o;el3A80;el3A180;el1A80;el1A180;thA80;thA180;SpotPriceEUR
tt252;tt252;0,175;0,116;0,249;0,526;1,134567;2,55157493;29,17
tt253;tt253;1,105;4,556;2,062;0,351;1,14608186;2,57745396;29,13
tt254;tt254;0,405;0,182;0,067;0,874;1,15790628;2,60403264;29,15
tt255;tt255;0,032;0,415;0,44;0,344;1,16871581;2,62834043;29,18
tt256;tt256;1,209;3,409;0,142;0,289;1,17866276;2,65071897;29,4
tt257;tt257;0,24;1,261;0,814;1,631;1,19175552;2,68017664;29,57
tt258;tt258;0,893;1,358;1,557;1,254;1,20261385;2,70457425;29,38
tt259;tt259;0,402;1,025;0,475;1,524;1,20813876;2,71697693;29,13
tt260;tt260;0,264;1,086;1,007;1,677;1,21818281;2,73956029;28,6
tt261;tt261;0,468;0,197;0,448;0,263;1,22678713;2,75891897;27,91
tt262;tt262;0,096;0,357;0,355;0,309;1,22921419;2,76440401;26,27
tt263;tt263;0,175;0,182;0,086;0,358;1,2233735;2,75129081;9,99
tt264;tt264;0,088;0,281;0,169;0,222;1,2122696;2,72632596;0,09
tt265;tt265;0,388;0,184;0,066;0,158;1,20222597;2,70373678;0,03
tt266;tt266;0,185;1,389;0,239;0,42;1,19057198;2,67751186;0,05
tt267;tt267;0,477;0,218;0,078;0,739;1,18439658;2,66361408;0,04
tt268;tt268;0,734;0,186;0,11;0,359;1,17604651;2,64483481;0,08
tt269;tt269;0,207;0,233;0,083;0,231;1,17680205;2,64653162;2,73
tt270;tt270;0,429;1,152;0,911;0,666;1,16905684;2,62910595;28,29
tt271;tt271;0,767;0,394;0,337;0,363;1,16297904;2,61544243;29,41
tt272;tt272;0,296;0,189;0,165;1,162;1,15954343;2,6077165;29,78
tt273;tt273;0,676;0,353;0,329;0,876;1,14983343;2,58587111;29,5
tt274;tt274;0,335;0,424;0,359;0,105;1,14753174;2,5806923;29,54
tt275;tt275;0,761;0,139;1,858;0,216;1,13110575;2,54374538;29,5
tt276;tt276;1,365;0,127;0,429;0,192;1,13009277;2,54147981;29,47
tt277;tt277;0,186;1,399;0,344;0,194;1,14720059;2,57997765;29,5
tt278;tt278;0,127;1,359;0,5;0,945;1,17045634;2,63231043;29,55
tt279;tt279;1,124;0,354;0,055;1,423;1,20386059;2,7074721;29,64
