2017-10-27,12:00:00;tt7189;0,197;tt7189;0,181;tt7189;0,059;tt7189;0,884
2017-10-27,13:00:00;tt7190;0,116;tt7190;0,289;tt7190;2,238;tt7190;1,1
2017-10-27,14:00:00;tt7191;0,261;tt7191;0,425;tt7191;0,388;tt7191;0,655
2017-10-27,15:00:00;tt7192;1,495;tt7192;2,491;tt7192;0,781;tt7192;1,661
2017-10-27,16:00:00;tt7193;0,463;tt7193;2,181;tt7193;1,681;tt7193;1,216
2017-10-27,17:00:00;tt7194;2,981;tt7194;1,321;tt7194;0,225;tt7194;0,361
2017-10-27,18:00:00;tt7195;0,705;tt7195;0,299;tt7195;2,941;tt7195;0,966
2017-10-27,19:00:00;tt7196;0,498;tt7196;0,388;tt7196;0,205;tt7196;1,238
2017-10-27,20:00:00;tt7197;0,417;tt7197;0,333;tt7197;0,379;tt7197;0,412
2017-10-27,21:00:00;tt7198;0,324;tt7198;0,549;tt7198;0,305;tt7198;1,386
2017-10-27,22:00:00;tt7199;0,391;tt7199;0,412;tt7199;0,143;tt7199;0,585
2017-10-27,23:00:00;tt7200;0,207;tt7200;0,73;tt7200;0,169;tt7200;0,199
2017-10-28,00:00:00;tt7201;0,212;tt7201;0,677;tt7201;0,132;tt7201;0,158
2017-10-28,01:00:00;tt7202;0,081;tt7202;0,235;tt7202;0,24;tt7202;0,243
2017-10-28,02:00:00;tt7203;0,036;tt7203;0,162;tt7203;0,171;tt7203;0,182
2017-10-28,03:00:00;tt7204;0,123;tt7204;0,101;tt7204;0,131;tt7204;0,314
2017-10-28,04:00:00;tt7205;0,239;tt7205;0,608;tt7205;0,077;tt7205;0,193
2017-10-28,05:00:00;tt7206;0,179;tt7206;0,376;tt7206;0,067;tt7206;0,544
2017-10-28,06:00:00;tt7207;0,626;tt7207;0,206;tt7207;0,395;tt7207;1,009
2017-10-28,07:00:00;tt7208;0,735;tt7208;1,365;tt7208;0,137;tt7208;0,576
2017-10-28,08:00:00;tt7209;0,099;tt7209;3,035;tt7209;0,272;tt7209;0,108
2017-10-28,09:00:00;tt7210;0,518;tt7210;0,564;tt7210;0,255;tt7210;0,264
2017-10-28,10:00:00;tt7211;0,853;tt7211;0,425;tt7211;1,943;tt7211;1,386
2017-10-28,11:00:00;tt7212;0,766;tt7212;2,115;tt7212;0,141;tt7212;0,272
2017-10-28,12:00:00;tt7213;0,435;tt7213;0,225;tt7213;0,094;tt7213;0,376
2017-10-28,13:00:00;tt7214;0,09;tt7214;1,192;tt7214;0,191;tt7214;1,23
2017-10-28,14:00:00;tt7215;0,314;tt7215;0,277;tt7215;0,608;tt7215;0,754
2017-10-28,15:00:00;tt7216;0,526;tt7216;0,384;tt7216;1,081;tt7216;0,293
2017-10-28,16:00:00;tt7217;0,542;tt7217;0,283;tt7217;0,264;tt7217;1,122
2017-10-28,17:00:00;tt7218;0,645;tt7218;1,736;tt7218;0,417;tt7218;0,631
2017-10-28,18:00:00;tt7219;1,075;tt7219;1,501;tt7219;0,149;tt7219;0,227
2017-10-28,19:00:00;tt7220;0,393;tt7220;0,551;tt7220;0,916;tt7220;0,438
2017-10-28,20:00:00;tt7221;0,312;tt7221;0,217;tt7221;0,132;tt7221;0,901
2017-10-28,21:00:00;tt7222;0,143;tt7222;0,475;tt7222;0,211;tt7222;1,766
2017-10-28,22:00:00;tt7223;0,101;tt7223;0,206;tt7223;0,156;tt7223;0,189
2017-10-28,23:00:00;tt7224;0,264;tt7224;0,537;tt7224;0,437;tt7224;0,281
2017-10-29,00:00:00;tt7225;0,287;tt7225;0,439;tt7225;0,204;tt7225;0,256
2017-10-29,01:00:00;tt7226;0,103;tt7226;0,41;tt7226;0,194;tt7226;0,174
2017-10-29,02:00:00;tt7227;0,102;tt7227;0,673;tt7227;0,112;tt7227;0,362
2017-10-29,03:00:00;tt7228;0,025;tt7228;0,215;tt7228;0,193;tt7228;0,215
2017-10-29,04:00:00;tt7229;0,175;tt7229;0,13;tt7229;0,208;tt7229;0,106
2017-10-29,05:00:00;tt7230;0,322;tt7230;0,178;tt7230;0,221;tt7230;0,712
2017-10-29,06:00:00;tt7231;0,315;tt7231;0,451;tt7231;0,234;tt7231;0,314
2017-10-29,07:00:00;tt7232;0,131;tt7232;1,872;tt7232;0,458;tt7232;0,267
2017-10-29,08:00:00;tt7233;0,194;tt7233;0,148;tt7233;0,099;tt7233;0,291
2017-10-29,09:00:00;tt7234;1,499;tt7234;0,51;tt7234;0,319;tt7234;4,129
2017-10-29,10:00:00;tt7235;0,637;tt7235;0,823;tt7235;0,225;tt7235;2,749
2017-10-29,11:00:00;tt7236;0,085;tt7236;1,575;tt7236;1,852;tt7236;0,516
2017-10-29,12:00:00;tt7237;0,492;tt7237;0,623;tt7237;1,23;tt7237;2,995
2017-10-29,13:00:00;tt7238;0,198;tt7238;1,581;tt7238;0,139;tt7238;0,73
2017-10-29,14:00:00;tt7239;1,541;tt7239;0,385;tt7239;1,015;tt7239;3,213
2017-10-29,15:00:00;tt7240;0,063;tt7240;0,388;tt7240;0,195;tt7240;0,108
2017-10-29,16:00:00;tt7241;0,911;tt7241;2,054;tt7241;0,205;tt7241;0,482
2017-10-29,17:00:00;tt7242;1,34;tt7242;0,789;tt7242;1,272;tt7242;0,542
2017-10-29,18:00:00;tt7243;0,538;tt7243;1,113;tt7243;0,719;tt7243;0,676
2017-10-29,19:00:00;tt7244;1,64;tt7244;1,255;tt7244;0,098;tt7244;0,666
2017-10-29,20:00:00;tt7245;0,389;tt7245;0,97;tt7245;0,296;tt7245;0,803
2017-10-29,21:00:00;tt7246;0,788;tt7246;1,922;tt7246;1,437;tt7246;0,426
2017-10-29,22:00:00;tt7247;0,104;tt7247;0,347;tt7247;1,922;tt7247;0,204
2017-10-29,23:00:00;tt7248;0,13;tt7248;0,282;tt7248;0,073;tt7248;0,141
2017-10-30,00:00:00;tt7249;0,238;tt7249;3,012;tt7249;0,105;tt7249;0,163
2017-10-30,01:00:00;tt7250;0,06;tt7250;0,448;tt7250;0,195;tt7250;0,345
2017-10-30,02:00:00;tt7251;0,309;tt7251;0,422;tt7251;0,224;tt7251;0,627
2017-10-30,03:00:00;tt7252;0,229;tt7252;0,299;tt7252;0,158;tt7252;0,338
2017-10-30,04:00:00;tt7253;0,948;tt7253;0,561;tt7253;0,519;tt7253;0,164
2017-10-30,05:00:00;tt7254;0,1;tt7254;0,793;tt7254;1,11;tt7254;0,47
2017-10-30,06:00:00;tt7255;0,438;tt7255;0,195;tt7255;0,03;tt7255;1,29
2017-10-30,07:00:00;tt7256;0,262;tt7256;0,113;tt7256;0,26;tt7256;0,256
2017-10-30,08:00:00;tt7257;0,129;tt7257;0,256;tt7257;0,095;tt7257;0,36
2017-10-30,09:00:00;tt7258;0,091;tt7258;0,171;tt7258;0,08;tt7258;0,666
2017-10-30,10:00:00;tt7259;0,16;tt7259;0,196;tt7259;0,157;tt7259;0,355
2017-10-30,11:00:00;tt7260;1,912;tt7260;0,244;tt7260;1,048;tt7260;0,629
2017-10-30,12:00:00;tt7261;0,402;tt7261;0,174;tt7261;0,351;tt7261;0,264
2017-10-30,13:00:00;tt7262;0,155;tt7262;0,174;tt7262;1,363;tt7262;2,595
2017-10-30,14:00:00;tt7263;0,267;tt7263;0,321;tt7263;0,907;tt7263;0,129
2017-10-30,15:00:00;tt7264;0,844;tt7264;0,311;tt7264;0,682;tt7264;0,507
2017-10-30,16:00:00;tt7265;1,169;tt7265;1,532;tt7265;0,631;tt7265;0,322
2017-10-30,17:00:00;tt7266;1,509;tt7266;0,529;tt7266;1,984;tt7266;0,369
2017-10-30,18:00:00;tt7267;0,633;tt7267;1,219;tt7267;0,292;tt7267;3,126
2017-10-30,19:00:00;tt7268;0,029;tt7268;0,429;tt7268;0,869;tt7268;0,666
2017-10-30,20:00:00;tt7269;0,433;tt7269;0,842;tt7269;0,547;tt7269;0,599
2017-10-30,21:00:00;tt7270;0,567;tt7270;0,266;tt7270;1,118;tt7270;0,157
2017-10-30,22:00:00;tt7271;0,235;tt7271;0,863;tt7271;0,291;tt7271;0,213
2017-10-30,23:00:00;tt7272;0,116;tt7272;0,16;tt7272;0,119;tt7272;0,408
2017-10-31,00:00:00;tt7273;0,086;tt7273;0,204;tt7273;0,049;tt7273;0,206
2017-10-31,01:00:00;tt7274;0,09;tt7274;0,164;tt7274;0,196;tt7274;0,673
2017-10-31,02:00:00;tt7275;0,063;tt7275;0,197;tt7275;0,089;tt7275;0,158
2017-10-31,03:00:00;tt7276;0,195;tt7276;0,2;tt7276;0,008;tt7276;0,261
2017-10-31,04:00:00;tt7277;0,181;tt7277;0,212;tt7277;0,227;tt7277;0,322
2017-10-31,05:00:00;tt7278;0,095;tt7278;0,537;tt7278;0,363;tt7278;0,431
2017-10-31,06:00:00;tt7279;0,491;tt7279;0,532;tt7279;0,452;tt7279;0,204
2017-10-31,07:00:00;tt7280;0,158;tt7280;0,399;tt7280;0,08;tt7280;0,447
2017-10-31,08:00:00;tt7281;0,316;tt7281;1,721;tt7281;0,203;tt7281;0,922
2017-10-31,09:00:00;tt7282;0,216;tt7282;0,113;tt7282;0,049;tt7282;0,149
2017-10-31,10:00:00;tt7283;0,11;tt7283;0,337;tt7283;0,099;tt7283;0,366
2017-10-31,11:00:00;tt7284;0,1;tt7284;0,233;tt7284;0,177;tt7284;0,352
2017-10-31,12:00:00;tt7285;0,165;tt7285;0,256;tt7285;0,105;tt7285;0,225
2017-10-31,13:00:00;tt7286;0,587;tt7286;0,262;tt7286;0,411;tt7286;0,415
2017-10-31,14:00:00;tt7287;0,267;tt7287;0,442;tt7287;0,105;tt7287;0,598
2017-10-31,15:00:00;tt7288;0,259;tt7288;0,654;tt7288;2,395;tt7288;0,296
2017-10-31,16:00:00;tt7289;3,087;tt7289;2,438;tt7289;0,3;tt7289;0,249
2017-10-31,17:00:00;tt7290;0,94;tt7290;1,78;tt7290;0,327;tt7290;0,545
2017-10-31,18:00:00;tt7291;0,613;tt7291;1,435;tt7291;0,159;tt7291;0,662
2017-10-31,19:00:00;tt7292;1,164;tt7292;0,747;tt7292;1,218;tt7292;0,544
2017-10-31,20:00:00;tt7293;0,976;tt7293;0,089;tt7293;0,051;tt7293;0,78
